Brand (Make),Total Sales Revenue ($),Average Selling Price ($),Sales Count
Infiniti,3155650,23906,132
Hyundai,1663500,14853,112
Bmw,1232001,56000,22
Kia,1050450,16161,65
Mercedes-Benz,858250,35760,24
Nissan,510400,13432,38
Chevrolet,377350,17152,22
Audi,365050,36505,10
Lexus,359700,35970,10
Volvo,293650,29365,10
Mazda,219300,13706,16
Land Rover,207000,41400,5
Jeep,166150,23736,7
Mitsubishi,102100,14586,7
Acura,83150,27717,3
Cadillac,74000,37000,2
Mini,70300,14060,5
Jaguar,52000,26000,2
Toyota,35000,11667,3
Lincoln,24500,24500,1
Buick,24100,24100,1
Ford,24000,12000,2
Volkswagen,8000,8000,1
