year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate,saleday
2015,Kia,Optima,LX,Sedan,automatic,5XXGM4A73FG353538,CA,48.0,2034,Red,Tan,kia motors finance,15150,17700,2014-12-16,Tuesday
2015,Kia,Sorento,LX,Suv,automatic,5XYKT3A62FG579841,CA,5.0,5214,White,Black,kia motors finance,19400,19300,2014-12-16,Tuesday
2015,Hyundai,Elantra,SE,Sedan,automatic,5NPDH4AE2FH565969,CA,1.0,7879,Silver,Gray,enterprise vehicle exchange / tra / rental / tulsa,13800,10500,2014-12-16,Tuesday
2015,Hyundai,Elantra,SE,Sedan,automatic,5NPDH4AE8FH565992,CA,2.0,7800,Silver,Gray,enterprise vehicle exchange / tra / rental / tulsa,13800,9000,2014-12-16,Tuesday
2013,Hyundai,Santa Fe,Limited,Suv,automatic,KM8SRDHF0DU002596,CA,5.0,14974,White,Gray,hyundai buybacks,28300,27000,2014-12-16,Tuesday
2013,Hyundai,Genesis,5.0 R-Spec,Sedan,automatic,KMHGC4DH7DU220016,CA,47.0,21463,Gray,Black,hyundai motor america/co car,27100,27400,2014-12-16,Tuesday
2013,Hyundai,Elantra,GLS,Sedan,automatic,KMHDH4AE9DU490167,CA,26.0,56651,Red,Beige,hyundai motor finance,10250,10700,2014-12-16,Tuesday
2013,Hyundai,Santa Fe,Limited,Suv,automatic,KM8SRDHF8DU000644,CA,5.0,11439,White,Brown,hyundai motor america/co car,28500,30800,2014-12-16,Tuesday
2013,Hyundai,Elantra,GLS,Sedan,automatic,5NPDH4AE5DH342001,CA,2.0,37436,Silver,Gray,enterprise vehicle exchange / tra / rental / tulsa,11400,8800,2014-12-16,Tuesday
2013,Hyundai,Elantra,GLS,Sedan,manual,5NPDH4AE9DH235016,CA,49.0,2606,White,Beige,hyundai motor america/co car,13450,12300,2014-12-16,Tuesday
2013,Hyundai,Sonata Hybrid,Limited,Sedan,automatic,KMHEC4A46DA091860,CA,48.0,16386,White,Gray,hyundai motor america/co car,18000,18800,2014-12-16,Tuesday
2013,Hyundai,Santa Fe,Sport,Suv,automatic,5XYZTDLB9DG057378,CA,48.0,20663,Gray,Gray,hyundai motor america/co car,19500,19200,2014-12-16,Tuesday
2013,Hyundai,Santa Fe,Limited,Suv,automatic,KM8SR4HF7DU008024,CA,42.0,13225,Black,Brown,hyundai motor america/co car,23400,26000,2014-12-16,Tuesday
2013,Hyundai,Sonata Hybrid,Limited,Sedan,automatic,KMHEC4A48DA092248,CA,46.0,13736,Black,Beige,hyundai motor america/co car,18350,17700,2014-12-16,Tuesday
2013,Hyundai,Elantra,GLS,Sedan,automatic,5NPDH4AE8DH345667,CA,2.0,25442,Gold,Beige,enterprise vehicle exchange / tra / rental / tulsa,12150,6700,2014-12-16,Tuesday
2013,Hyundai,Santa Fe,Sport 2.0T,Suv,automatic,5XYZW3LA5DG114166,CA,47.0,17367,Black,Beige,hyundai motor america/co car,21400,24100,2014-12-16,Tuesday
2013,Hyundai,Sonata,Limited,Sedan,automatic,5NPEC4AC2DH608074,CA,43.0,18479,White,Burgundy,hyundai motor america/co car,16900,18100,2014-12-16,Tuesday
2013,Hyundai,Veloster,Turbo,Hatchback,automatic,KMHTC6AE4DU168333,CA,36.0,10474,White,Black,hyundai motor america/co car,15000,16100,2014-12-16,Tuesday
2013,Hyundai,Elantra Coupe,SE,Elantra Coupe,automatic,KMHDH6AE8DU000216,CA,43.0,11809,Black,Black,hyundai motor america/co car,14600,16100,2014-12-16,Tuesday
2013,Hyundai,Sonata Hybrid,Limited,Sedan,automatic,KMHEC4A41DA089739,CA,47.0,8595,Silver,Gray,hyundai motor america/co car,19100,18500,2014-12-16,Tuesday
2013,Hyundai,Accent,GS,Hatchback,automatic,KMHCT5AE4DU128991,CA,46.0,9927,Black,Black,hyundai motor america/co car,10800,11300,2014-12-16,Tuesday
2013,Hyundai,Elantra,GLS,Sedan,automatic,5NPDH4AE4DH388614,CA,1.0,25960,Gray,Gray,enterprise vehicle exchange / tra / rental / tulsa,12100,8800,2014-12-16,Tuesday
2013,Hyundai,Azera,Base,Sedan,automatic,KMHFG4JGXDA201053,CA,45.0,34566,Silver,Black,hyundai motor america/co car,20000,20300,2014-12-16,Tuesday
2013,Hyundai,Santa Fe,Sport 2.0T,Suv,automatic,5XYZWDLA8DG094937,CA,5.0,10747,Black,Black,hyundai motor america/co car,19850,25800,2014-12-16,Tuesday
2013,Hyundai,Elantra,GLS,Sedan,automatic,5NPDH4AE0DH320214,CA,1.0,42798,Gray,Gray,fox rent a car tra,11100,7600,2014-12-16,Tuesday
2013,Hyundai,Sonata Hybrid,Base,Sedan,automatic,KMHEC4A46DA091339,CA,44.0,16684,White,Tan,hyundai motor america/co car,14900,14800,2014-12-16,Tuesday
2013,Hyundai,Tucson,GLS,Suv,automatic,KM8JU3AC4DU587297,CA,42.0,19109,Red,Black,hyundai motor america/co car,16450,17500,2014-12-16,Tuesday
2013,Hyundai,Elantra,Limited,Sedan,automatic,KMHDH4AE2DU972303,CA,48.0,10564,Black,Gray,hyundai motor america/co car,15350,16500,2014-12-16,Tuesday
2013,Hyundai,Azera,Base,Sedan,automatic,KMHFG4JG8DA325905,CA,47.0,16132,Black,Black,hyundai motor america/co car,21200,21400,2014-12-16,Tuesday
